Acebeda (La),3.019213174748399,21.86,66.0
Ajalvir,225,19.8,4455.0
Alameda del Valle,7.743190661478599,25.7,199.0
Alamo (El),415.8636363636364,22,9149.0
Alcalá de Henares,2205.311542390193,88.11000000000004,194310.0
Alcobendas,2538.992042440319,45.23999999999999,114864.0
Alcorcón,5008.668453976766,33.56999999999999,168141.0
Aldea del Fresno,50.63879210220674,51.66,2616.0
Algete,537.2007366482505,38.01,20419.000000000004
Alpedrete,1124.8025276461294,12.66,14239.999999999998
Ambite,13.12015503875969,51.6,677.0
Anchuelo,57.34136174154701,21.59,1238.0
Aranjuez,307.9889952912544,189.01000000000002,58213.0
Arganda del Rey,670.4995639715959,80.27,53821.0
Arroyomolinos,1401.732435033686,20.780000000000005,29128.0
Atazar (El),3.4118888498065423,28.43,97.0
Batres,75.374531835206,21.36,1610.0
Becerril de la Sierra,184.1093117408907,29.64,5457.0
Belmonte de Tajo,67.63606148732862,24.07,1627.9999999999998
Berzosa del Lozoya,13.885088919288647,14.62,203.0
Berrueco (El),26.161971830985916,28.4,743.0
Boadilla del Monte,1086.1756015196281,47.38000000000002,51463.0
Boalo (El),186.751269035533,39.4,7358.0
Braojos,8.34336141195347,24.93,208.0
Brea de Tajo,12.050078247261347,44.73,539.0
Brunete,210.96196868008948,49.17,10373.0
Buitrago del Lozoya,71.52777777777777,25.92,1854.0
Bustarviejo,42.740067699982184,56.13,2399.0
Cabanillas de la Sierra,51.556842867487326,13.81,712.0
Cabrera (La),116.07949412827462,22.14,2570.0
Cadalso de los Vidrios,63.81688963210702,47.84,3053.0
Camarma de Esteruelas,201.5362731152205,35.15,7084.0
Campo Real,97.08502024291498,61.75,5995.0
Canencia,8.268733850129198,54.18,447.99999999999994
Carabaña,40.72208228379513,47.64,1940.0
Casarrubuelos,684.8030018761726,5.33,3650.0
Cenicientos,29.06959706959707,68.25,1984.0
Cercedilla,167.88339049485546,40.82,6853.0
Cervera de Buitrago,13.518197573656847,11.54,156.0
Ciempozuelos,480.40882412467124,49.40999999999999,23737.0
Cobeña,344.54064454064456,20.79,7163.0
Colmenar del Arroyo,33.09673494220239,49.31,1631.9999999999998
Colmenar de Oreja,61.82221166785403,126.33000000000001,7810.0
Colmenarejo,286.2813591616386,31.490000000000002,9015.0
Colmenar Viejo,265.82458442694656,182.88000000000005,48614.0
Collado Mediano,300.405588102749,22.19,6666.000000000001
Collado Villalba,2467.3283048828903,25.189999999999998,62152.0
Corpa,26.36854279105628,25.94,684.0
Coslada,6906.073211314479,12.019999999999996,83011.0
Cubas de la Sagra,474.1660201706749,12.89,6112.0
Chapinería,87.08414872798434,25.55,2225.0
Chinchón,45.254339753001126,115.78999999999999,5240.0
Daganzo de Arriba,232.30414746543775,43.400000000000006,10082.0
Escorial (El),226.15898851911058,68.81,15562.0
Estremera,15.935801845065084,79.13,1261.0
Fresnedillas de la Oliva,54.69301340860974,28.34,1550.0
Fresno de Torote,66.61417322834646,31.75,2115.0
Fuenlabrada,4968.580908626851,39.17999999999999,194668.99999999997
Fuente el Saz de Jarama,193.78582202111616,33.15,6424.000000000001
Fuentidueña de Tajo,32.901296111665005,60.18,1980.0
Galapagar,504.64723926380367,65.2,32903.0
Garganta de los Montes,8.207289858666005,40.33,331.0
Gargantilla del Lozoya y Pinilla de Buitrago,13.027295285359802,24.18,315.0
Gascones,8.769307424015944,20.07,176.0
Getafe,2268.5837892861678,78.59000000000003,178288.0
Griñón,588.6483323581043,17.089999999999996,10060.0
Guadalix de la Sierra,100.38167938931298,60.26,6049.0
Guadarrama,273.172437915355,57.18000000000001,15620.0
Hiruela (La),3.0303030303030303,17.16,52.0
Horcajo de la Sierra-Aoslos,6.69811320754717,21.2,142.0
Horcajuelo de la Sierra,3.692824171212757,23.83,88.0
Hoyo de Manzanares,177.5812513818262,45.230000000000004,8032.0
Humanes de Madrid,997.3041709053919,19.659999999999997,19607.0
Leganés,4342.354846171637,43.230000000000025,187720.0
Loeches,192.35108303249098,44.32,8525.0
Lozoya,9.68972092217022,57.69,559.0
Madarcos,5.380116959064327,8.55,46.0
Madrid ,5264.0839480038385,604.6599999999999,3182981.0
Majadahonda,1853.366259422927,38.47,71299.0
Manzanares el Real,66.24581092666199,128.31,8500.0
Meco,388.4912682507873,34.93,13570.0
Mejorada del Campo,1279.8661461238148,17.93,22948.0
Miraflores de la Sierra,103.13829787234042,56.400000000000006,5817.0
Molar (El),169.1771269177127,50.19,8491.0
Molinos (Los),226.77453027139876,19.16,4345.0
Montejo de la Sierra,11.062771908017401,32.18,356.0
Moraleja de Enmedio,156.2399743342958,31.17,4870.0
Moralzarzal,286.86868686868684,43.56,12496.0
Morata de Tajuña,165.2020313534997,45.28999999999999,7482.0
Móstoles,4601.0913140311795,44.90000000000001,206589.00000000003
Navacerrada,105.19810977826245,27.51,2894.0
Navalafuente,110.01642036124795,12.18,1340.0
Navalagamella,32.24656810982049,75.76,2443.0000000000005
Navalcarnero,273.4034113447044,100.84000000000002,27569.999999999996
Navarredonda y San Mamés,4.6013347383210395,28.47,131.0
Navas del Rey,54.4644624826767,50.51,2751.0
Nuevo Baztán,303.0348258706467,20.1,6091.0
Olmeda de las Fuentes,20.09685230024213,16.52,332.0
Orusco de Tajuña,57.02247191011236,21.36,1218.0
Paracuellos de Jarama,546.0255824577432,43.78,23905.0
Parla,5031.894484412471,25.019999999999996,125898.0
Patones,15.768463073852296,35.07,553.0
Pedrezuela,196.67133847231955,28.54,5613.0
Pelayos de la Presa,326.0237780713342,7.57,2468.0
